species_name,count
malayemys subtrijuga,25
sphyrna lewini,25
rodentia,25
pangshura tentoria,25
tragulidae,25
cyanocompsa brissonii,24
trachypithecus auratus,24
cedrela odorata,24
dipterocarpus,24
viverricula indica,24
pterocarpus dalbergioides,24
podocnemis unifilis,24
aliger,24
fringillidae,24
odobenus rosmarus,24
gazella,24
ateles geoffroyi,24
garrulax canorus,24
nisaetus cirrhatus,24
herpestidae,24
amazona ochrocephala,24
gmelina,24
gastropoda,24
rhizomys,24
accipiter gentilis,24
probosciger aterrimus,23
buceros bicornis,23
chlorocebus aethiops,23
carcharhinus longimanus,23
alligator,23
panthera tigris corbetti,23
potamochoerus larvatus,23
myiopsitta monachus,22
osyris lanceolata,22
alopias,22
alcyonacea,22
streptopelia chinensis,22
ursus,22
cacatua galerita,22
trachemys scripta,22
orchis mascula,22
callitrichidae,22
procyon lotor,21
manouria emys,21
tiliqua,21
nycticebus pygmaeus,21
hopea odorata,21
pogona,21
caretta caretta,21
entandrophragma cylindricum,21
aratinga solstitialis,21
santalum album,21
sporophila nigricollis,21
martes foina,21
mauremys sinensis,21
scleropages formosus,21
naja,20
eriocheir sinensis,20
chelydra serpentina,20
suidae,20
mollusca,20
pongo abelii,20
ptyas korros,20
cedrus,20
hystrix brachyura,20
tayassu pecari,20
petaurus breviceps,20
pterocarpus erinaceus,20
cacatua moluccensis,20
xanthostemon verdugonianus,20
anguilla,20
senegalia catechu,20
elephas,20
callithrix jacchus,20
sapajus apella,20
stylophora,20
ceratotherium simum simum,20
crocodylus acutus,20
anthracoceros albirostris,20
dasyprocta,20
passeridae,19
chiroptera,19
panthera,19
paroaria dominicana,19
tragelaphus strepsiceros,19
coleoptera,19
chelonoidis denticulata,19
virola,19
papio hamadryas,19
varanidae,19
abies,19
caracal caracal,19
ara militaris,19
sturnidae,19
ursus maritimus,19
siebenrockiella crassicollis,18
philantomba monticola,18
thunnus thynnus,18
arctictis binturong,18
amazona finschi,18
agapornis fischeri,18
syngnathidae,18
tanygnathus lucionensis,18
ara,18
vouacapoua americana,18
cacatuidae,18
pyxis arachnoides,18
ceropegia,18
struthio,18
pangshura tecta,18
mammuthus,18
chamaeleo calyptratus,17
alces alces,17
acacia,17
ateles,17
canis latrans,17
platycercus elegans,17
equus zebra,17
chrysolophus pictus,17
cyclemys dentata,17
melopsittacus undulatus,17
amazona,17
cyanoramphus novaezelandiae,17
shorea astylosa,17
macropodidae,17
ardeidae,17
haliaeetus leucocephalus,17
dasypus novemcinctus,17
felis silvestris,17
isurus oxyrinchus,17
lonchura,17
spalacidae,17
dasyprocta punctata,17
turdidae,17
hippotragus niger,16
strigidae,16
serinus canaria,16
pavo,16
psephotus haematonotus,16
huso huso,16
pycnanthus angolensis,16
chelus fimbriatus,16
gazella bennettii,16
leopardus tigrinus,16
buteo jamaicensis,16
pyrrhura molinae,16
falco tinnunculus,16
varanus nebulosus,16
elephas maximus borneensis,16
bertholletia excelsa,16
strix aluco,16
