scenario,det_low,det_high,mean_true_value_usd,median_true_value_usd,p05_true_value_usd,p95_true_value_usd
baseline_10_30,0.1,0.3,167871296895.5775,153005503785.31616,105578414668.8348,278327561733.72046
improved_20_40,0.2,0.4,106246489584.07436,102370673875.639,78612550652.788,146042795920.08572
weak_05_20,0.05,0.2,281820657271.218,243424540674.4419,159250898289.44388,531919098527.9037
