species_name,value_usd,share_pct
"hawksbill turtle, tortuga carey, tortuga de carey, caret, tortue à bec de faucon, tortue à écailles, tortue imbriquée",1361988.4741,0.004448012866282823
ray-finned fishes,1303089.80005,0.004255660239984339
"african rosewood, barwood, muninga, mukwa",1292897.0,0.004222372362276118
"narra, bloodwood",1228599.8,0.004012389107421524
"blunt-tailed sand boa, brown sand boa, indian sand boa, boa de arena de la india, boa des sables brun",1213989.238,0.003964673602484842
turtles,1161903.86427,0.003794572006985452
yakal,1081282.71,0.003531277611836846
"honduras rosewood, nagaed, nogaed, palisandro de honduras, rosul, palissandre du honduras",1061667.93,0.003467219218195182
siberian tiger,925834.7,0.003023611973201424
"white-fronted amazon, white-fronted parrot, amazona frentialba, loro frente blanca, perico manglero, amazone à front blanc",905252.0,0.002956392524458778
"wild yak, yak, yak salvaje, yack sauvage",894264.0,0.0029205076647083957
"tolu balsam, balsamo de tolu, balsamo del peru",887418.0,0.0028981498425523057
"cocodrilos, crocodiles",854985.826,0.0027922321127206713
"san salvador ground iguana, san salvador iguana, watling island iguana, white cay ground iguana, cyclure des bahamas, iguane terrestre des bahamas",854516.0,0.002790697744308123
"leopard tortoise, mountain tortoise, tortuga leopardo, tortue-léopard du cap",807697.9,0.002637798130886265
"fly river turtle, new guinea plateless turtle, pig-nosed turtle, pitted-shell turtle, tortue à nez de cochon, warrajan",807594.6,0.0026374607714020814
"philippine pangolin, palawan pangolin, balintong, pangolin des philippines",774479.8023,0.0025293137136002267
"pinecone lizard, shingle-back",773134.5,0.0025249201948199782
"chinese forest musk deer, dwarf musk deer, forest musk deer",751689.6000000001,0.002454884953751452
white-rumped shama,726446.2168,0.00237244454004949
"common peafowl, indian peafowl, peafowl",720790.1,0.0023539726654499466
"helmeted hornbill, cálao de casco, cálao de yelmo, calao à casque, calao à casque rond",653118.453,0.002132969065006519
"ounce, snow leopard, leopardo de las nieves, leopardo nival, pantera de la nieves, irbis, léopard des neiges, once, panthère des neiges",610694.55681,0.0019944201421049058
"jewelled gecko, south island tree gecko",565069.45,0.0018454166329155118
oriental magpie-robin,561362.21,0.0018333094443952166
"eurasian lynx, lince, lince boreal, lince europeo, lynx, lynx boréal, lynx d'eurasie",555794.8,0.0018151272704761345
japanese eel,507311.0,0.0016567877761945922
bobak marmot,506246.0,0.0016533096750265765
"brown bear, grizzly bear, oso pardo, ours brun, ours grizzly",482141.85,0.0015745897949617624
"gyrfalcon, gyr falcon, halcón gerifalte, faucon gerfaut, gerfaut",466149.0,0.0015223599825064567
bengal tiger,456215.06,0.001489917495823829
"alexandrine parakeet, cotorra alejandrina, perruche alexandre",444297.6791,0.0014509974428398116
"arapaima, giant arapaima, pirarucu, arapaima, paiche, arapaïma, paiche, pirarucu",438144.0,0.0014309006179897606
musk deer,429195.851,0.0014016775499254611
indo-chinese rat snake,411256.1,0.0013430895040033842
"golden eagle, águila real, aigle doré, aigle royal",401351.0,0.001310741203647222
"swordfish, broadbill",393720.0,0.0012858197106771485
lizards,384083.7,0.0012543492634608572
"indian star tortoise, star tortoise, tortuga estrellada de la india, tortue étoilée de l'inde, indische sternschildkröte",380597.54,0.001242964083021524
"southern square-lipped rhinoceros, southern white rhinoceros, rhinocéros blanc du sud",379676.0,0.0012399544967770422
"atlantic bluefin tuna, bluefin tuna, northern bluefin tuna",352419.0,0.0011509379676346895
"beaumaris shark, blue dog, mackerel shark, porbeagle, porbeagle shark, porbeale shark, cailón, cailón marrajo, marrajo, marrajo sardinero, requin-taupe commun",352419.0,0.0011509379676346895
"sturgeons, esturiones, esturgeons",350474.6,0.0011445879019904737
"black corals, corales negros, coraux noirs",344475.0,0.0011249942721617157
"barasingha, swamp deer, barasinga, ciervo de duvaucel, barasinga, barasingha, cerf de duvaucel",344141.0,0.001123903487382263
thnong,340982.60398,0.001113588725986753
small flying squirrel,324689.0,0.001060376704358561
"arowana, asian arowana, asian bonytongue, dragonfish, golden arowana, golden dragon fish, kelesa, malayan bonytongue, pez lengüihueso malayo, scléropage d'asie",302800.0,0.0009888911114320851
"hairy rhinoceros, sumatran rhinoceros, rinoceronte de sumatra, rhinocéros de sumatra",294430.6,0.0009615581349855206
"dolphins, delfines, dauphins",257904.0,0.00084226873580839
scalloped spiny lobster,244340.04,0.0007979712474338182
ornate spiny lobster,244340.04,0.0007979712474338182
woolly mammoth,244250.0,0.0007976771927585429
"black pond turtle, black spotted turtle, hamilton's terrapin, spotted pond turtle, galápago de hamilton, galápago rayado, émyde en toit, géoclemmyde d'hamilton, tortue de hamilton",220455.0238,0.0007199670195058413
"boas, boas",219113.30000000002,0.0007155851874721
"hamadryad, king cobra, cobra real, cobra royal, hamadryade, hamadryas",217036.421,0.000708802468903342
"blue-and-gold macaw, blue-and-yellow macaw, guacamayo azulamarillo, guacamayo azul y amarillo, ara bleu et jaune",215971.49,0.000705324593077092
sumatran elephant,213262.0,0.0006964758791487099
khair,210674.0,0.0006880239300192969
hammerhead sharks,209476.7,0.0006841137605090009
"tortoises, tortugas terrestres, tortues terrestres",205918.2268,0.0006724924179801063
"elk, red deer, wapiti, ciervo rojo, cerf élaphe",200461.18699999998,0.0006546706935648119
sumatran tiger,200414.614,0.0006545185944045321
mahogany,192762.56,0.0006295283428034809
"kempas, impas, makupa, mangris, menggeris, yuan, gan ba dou mu",191957.90000000002,0.0006269004659153536
"grey parrot, african grey, jacquot, loro yaco, yaco, jacko, jacquot, perroquet gris, perroquet jaco",187365.072,0.0006119011040080338
"kratom, ketum",186317.0663,0.0006084785032106092
"umbrella cockatoo, white cockatoo, cacatúa alba, cacatúa blanca, cacatoès à huppe blanche, cacatoès blanc",182316.64,0.0005954138202185051
"green-winged macaw, red-and-green macaw, guacamayo aliverde, guacamayo rojo, ara chloroptère",181799.07,0.0005937235283673034
"sun conure, sun parakeet, aratinga sol, perico dorado, conure soleil, perruche du soleil",181291.2982,0.0005920652357000118
"moluccan cockatoo, salmon-crested cockatoo, cacatúa de las molucas, cacatoès à huppe rouge, cacatoès des moluques",179755.483,0.0005870495355676397
sulphur-breasted parakeet,179320.0,0.0005856273253038359
"red-tailed black-cockatoo, cacatúa de cola roja, cacatúa negra de cola roja, cacatoès banksien, cacatoès de banks",179320.0,0.0005856273253038359
"red-bellied macaw, guacamayo barriga roja, guacamayo ventrirrojo, ara macavouanne",179320.0,0.0005856273253038359
"yellow-crowned amazon, yellow-crowned parrot, yellow-fronted amazon, amazona real, loro cabeza amarilla, loro mona amarilla, loro nuca amarilla, loro real, amazone à front jaune",179320.0,0.0005856273253038359
"yellow-bibbed lory, lori acollarado, lori à collier jaune",179320.0,0.0005856273253038359
